Weight,Xcg,time
64207.62081886638,7.1502798152056215,1049.2
64207.42277356503,7.150279382510672,1049.3
64207.224731177834,7.15027894981942,1049.4
64207.0266879879,7.150278517123745,1049.5
64206.8286359986,7.1502780844061755,1049.6
64206.63057083709,7.150277651657156,1049.7
64206.432495892484,7.150277218884092,1049.8
64206.23442000881,7.150276786106306,1049.9
64206.0363516614,7.150276353342316,1050.0
64205.83829410065,7.150275920599224,1050.1
64205.64024395742,7.15027548786967,1050.2
64205.44219360858,7.150275055136995,1050.3
64205.2441360895,7.150274622385985,1050.4
64205.04606979673,7.1502741896131345,1050.5
64204.847999747886,7.1502737568294075,1050.6
64204.64993394354,7.150273324052283,1050.7
64204.45187627813,7.150272891290273,1050.8
64204.253819717895,7.150272458528009,1050.9
64204.0557440843,7.150272025721397,1051.0
64203.85762124623,7.150271592808969,1051.1
64203.65942672515,7.150271159737236,1051.2
64203.46115197336,7.150270726487516,1051.3
64203.26280965877,7.150270293087489,1051.4
64203.0644280405,7.150269859598899,1051.5
64202.8660377697,7.150269426088724,1051.6
64202.66765967612,7.150268992602478,1051.7
64202.469300952376,7.1502685591558794,1051.8
64202.27096030101,7.150268125746095,1051.9
64202.07263621858,7.15026769236984,1052.0
64201.874332018,7.150267259034351,1052.1
64201.67605512132,7.1502668257558515,1052.2
64201.47781206543,7.150266392548627,1052.3
64201.27960273091,7.150265959412415,1052.4
64201.081417650166,7.150265526326532,1052.5
64200.88324052919,7.150265093255368,1052.6
64200.685054964415,7.150264660163078,1052.7
64200.4868517587,7.150264227029562,1052.8
64200.2886323888,7.150263793858049,1052.9
64200.090405788476,7.150263360668061,1053.0
64199.89218014337,7.150262927477485,1053.1
64199.69395559939,7.15026249428664,1053.2
64199.49572271762,7.150262061074899,1053.3
64199.29746620865,7.150261627808847,1053.4
64199.09917048372,7.150261194454417,1053.5
64198.90082500676,7.150260760988583,1053.6
64198.70242863551,7.150260327408842,1053.7
64198.50399114489,7.150259893736558,1053.8
64198.30553045144,7.150259460010884,1053.9
64198.10706649075,7.15025902627539,1054.0
64197.908614384,7.150258592563119,1054.1
64197.71017973333,7.150258158886317,1054.2
64197.511758268745,7.150257725235652,1054.3
64197.313339855486,7.150257291588975,1054.4
64197.11491352002,7.1502568579223045,1054.5
64196.91646924468,7.150256424213743,1054.6
64196.71799604881,7.150255990439295,1054.7
64196.519480812196,7.150255556570278,1054.8
64196.32091231056,7.1502551225821644,1054.9
64196.12228939019,7.150254688472428,1055.0
64195.92362749893,7.150254254274829,1055.1
64195.72495869518,7.150253820059436,1055.2
64195.52632411496,7.150253385916154,1055.3
64195.32776092411,7.15025295192622,1055.4
64195.129288616285,7.150252518132241,1055.5
